text,source,weight,category
804386,studyd_train_subject,1.0,corpus
900416,studyd_train_subject,1.0,corpus
BEYOND,studyd_train_subject,1.0,corpus
BOTTOM,studyd_train_subject,1.0,corpus
CHECKS,studyd_train_subject,1.0,corpus
DOUBLE,studyd_train_subject,1.0,corpus
EXCUSE,studyd_train_subject,1.0,corpus
FAILED,studyd_train_subject,1.0,corpus
FORCES,studyd_train_subject,1.0,corpus
GOTTEN,studyd_train_subject,1.0,corpus
MANUTE,studyd_train_subject,1.0,corpus
PAYING,studyd_train_subject,1.0,corpus
SEEQNG,studyd_train_subject,1.0,corpus
SPARED,studyd_train_subject,1.0,corpus
STATES,studyd_train_subject,1.0,corpus
