text,source,weight,category
607389,studyd_train_subject,1.0,corpus
BAUOHT,studyd_train_subject,1.0,corpus
COMICS,studyd_train_subject,1.0,corpus
DOUBLE,studyd_train_subject,1.0,corpus
EXPECT,studyd_train_subject,1.0,corpus
NEARLY,studyd_train_subject,1.0,corpus
POXXRSP,studyd_train_subject,1.0,corpus
REASON,studyd_train_subject,1.0,corpus
RECALT,studyd_train_subject,1.0,corpus
SEKRET,studyd_train_subject,1.0,corpus
THREAT,studyd_train_subject,1.0,corpus
UNIQUE,studyd_train_subject,1.0,corpus
VISUAL,studyd_train_subject,1.0,corpus
