text,source,weight,category
183787,studyd_train_subject,1.0,corpus
ENGINE,studyd_train_subject,1.0,corpus
FALLEN,studyd_train_subject,1.0,corpus
FILLED,studyd_train_subject,1.0,corpus
IGNORE,studyd_train_subject,1.0,corpus
LILTLE,studyd_train_subject,1.0,corpus
MOMENT,studyd_train_subject,1.0,corpus
ORDERS,studyd_train_subject,1.0,corpus
POWER8,studyd_train_subject,1.0,corpus
PREFER,studyd_train_subject,1.0,corpus
PUBLIC,studyd_train_subject,1.0,corpus
RANDOM,studyd_train_subject,1.0,corpus
SUBMI\,studyd_train_subject,1.0,corpus
