text,source,weight,category
208935,studyd_train_subject,1.0,corpus
635787,studyd_train_subject,1.0,corpus
945174,studyd_train_subject,1.0,corpus
ALMOST,studyd_train_subject,1.0,corpus
ANCOME,studyd_train_subject,1.0,corpus
BECAME,studyd_train_subject,1.0,corpus
CHECKS,studyd_train_subject,1.0,corpus
CLIENT,studyd_train_subject,1.0,corpus
COLORS,studyd_train_subject,1.0,corpus
DMLMTE,studyd_train_subject,1.0,corpus
DOMAIN,studyd_train_subject,1.0,corpus
DOUBLE,studyd_train_subject,1.0,corpus
FALLEN,studyd_train_subject,1.0,corpus
INTAND,studyd_train_subject,1.0,corpus
SPLEEN,studyd_train_subject,1.0,corpus
TARGET,studyd_train_subject,1.0,corpus
