text,source,weight,category
067993,studyd_train_subject,1.0,corpus
671808,studyd_train_subject,1.0,corpus
695140,studyd_train_subject,1.0,corpus
EXCUSE,studyd_train_subject,1.0,corpus
GLOBAL,studyd_train_subject,1.0,corpus
LEAVES,studyd_train_subject,1.0,corpus
LETTER,studyd_train_subject,1.0,corpus
LIKELY,studyd_train_subject,1.0,corpus
PAPERS,studyd_train_subject,1.0,corpus
PLACED,studyd_train_subject,1.0,corpus
PLEASE,studyd_train_subject,1.0,corpus
READER,studyd_train_subject,1.0,corpus
SERIES,studyd_train_subject,1.0,corpus
UNIQUE,studyd_train_subject,1.0,corpus
WENOHT,studyd_train_subject,1.0,corpus
