text,source,weight,category
021441,studyd_train_subject,1.0,corpus
503057,studyd_train_subject,1.0,corpus
ANYWAY,studyd_train_subject,1.0,corpus
AVENUE,studyd_train_subject,1.0,corpus
BATTLE,studyd_train_subject,1.0,corpus
CANCEL,studyd_train_subject,1.0,corpus
CAREER,studyd_train_subject,1.0,corpus
CATLED,studyd_train_subject,1.0,corpus
DRAGON,studyd_train_subject,1.0,corpus
EASIER,studyd_train_subject,1.0,corpus
FELLOW,studyd_train_subject,1.0,corpus
FRIEFD,studyd_train_subject,1.0,corpus
MXPECT,studyd_train_subject,1.0,corpus
SCRAPT,studyd_train_subject,1.0,corpus
SECRET,studyd_train_subject,1.0,corpus
SPQRQT,studyd_train_subject,1.0,corpus
STARTS,studyd_train_subject,1.0,corpus
