text,source,weight,category
094230,studyd_train_subject,1.0,corpus
470924,studyd_train_subject,1.0,corpus
598524,studyd_train_subject,1.0,corpus
AUTTON,studyd_train_subject,1.0,corpus
BEHIND,studyd_train_subject,1.0,corpus
EXPERT,studyd_train_subject,1.0,corpus
MODELS,studyd_train_subject,1.0,corpus
PIECES,studyd_train_subject,1.0,corpus
PLANET,studyd_train_subject,1.0,corpus
POWERS,studyd_train_subject,1.0,corpus
RATHAR,studyd_train_subject,1.0,corpus
SOURCE,studyd_train_subject,1.0,corpus
UEMORY,studyd_train_subject,1.0,corpus
USEFUL,studyd_train_subject,1.0,corpus
