text,source,weight,category
044466,studyd_train_subject,1.0,corpus
281851,studyd_train_subject,1.0,corpus
328550,studyd_train_subject,1.0,corpus
BAT1LE,studyd_train_subject,1.0,corpus
CLOSED,studyd_train_subject,1.0,corpus
COUPLE,studyd_train_subject,1.0,corpus
DRIVES,studyd_train_subject,1.0,corpus
EXCEPT,studyd_train_subject,1.0,corpus
FAILED,studyd_train_subject,1.0,corpus
FAMILY,studyd_train_subject,1.0,corpus
FORMAT,studyd_train_subject,1.0,corpus
MQSELF,studyd_train_subject,1.0,corpus
NOBODY,studyd_train_subject,1.0,corpus
PRICES,studyd_train_subject,1.0,corpus
PROPER,studyd_train_subject,1.0,corpus
SQUARE,studyd_train_subject,1.0,corpus
TURNED,studyd_train_subject,1.0,corpus
