text,source,weight,category
4\3?UPGDN,studyd_train_subject,1.0,corpus
520C/2,studyd_train_subject,1.0,corpus
888306,studyd_train_subject,1.0,corpus
BECOME,studyd_train_subject,1.0,corpus
BOARDS,studyd_train_subject,1.0,corpus
DETCSAVED,studyd_train_subject,1.0,corpus
HELPED,studyd_train_subject,1.0,corpus
NATOON,studyd_train_subject,1.0,corpus
PLACES,studyd_train_subject,1.0,corpus
PLANMT,studyd_train_subject,1.0,corpus
PORT2H,studyd_train_subject,1.0,corpus
REKENT,studyd_train_subject,1.0,corpus
SAMPLE,studyd_train_subject,1.0,corpus
STATED,studyd_train_subject,1.0,corpus
