text,source,weight,category
8L2W46,studyd_train_subject,1.0,corpus
ACTIVE,studyd_train_subject,1.0,corpus
ANNUAL,studyd_train_subject,1.0,corpus
BECAME,studyd_train_subject,1.0,corpus
CANCER,studyd_train_subject,1.0,corpus
EDITOR,studyd_train_subject,1.0,corpus
ENERGY,studyd_train_subject,1.0,corpus
INDEEE,studyd_train_subject,1.0,corpus
MILLER,studyd_train_subject,1.0,corpus
PA6ING,studyd_train_subject,1.0,corpus
POSTED,studyd_train_subject,1.0,corpus
WANTED,studyd_train_subject,1.0,corpus
WEAPON,studyd_train_subject,1.0,corpus
