text,source,weight,category
014130,studyd_train_subject,1.0,corpus
288794,studyd_train_subject,1.0,corpus
467984,studyd_train_subject,1.0,corpus
ACCEPT,studyd_train_subject,1.0,corpus
BROKEN,studyd_train_subject,1.0,corpus
CREATE,studyd_train_subject,1.0,corpus
DOBSJES,studyd_train_subject,1.0,corpus
DOUBLE,studyd_train_subject,1.0,corpus
DURING,studyd_train_subject,1.0,corpus
EXCUSE,studyd_train_subject,1.0,corpus
EXPERT,studyd_train_subject,1.0,corpus
MANUAM,studyd_train_subject,1.0,corpus
PEOPLE,studyd_train_subject,1.0,corpus
REPEAT,studyd_train_subject,1.0,corpus
SELECT,studyd_train_subject,1.0,corpus
TRYING,studyd_train_subject,1.0,corpus
