text,source,weight,category
208883,studyd_train_subject,1.0,corpus
641692,studyd_train_subject,1.0,corpus
892225,studyd_train_subject,1.0,corpus
CREDIL,studyd_train_subject,1.0,corpus
DESIRE,studyd_train_subject,1.0,corpus
ENERGY,studyd_train_subject,1.0,corpus
KNIGHT,studyd_train_subject,1.0,corpus
METHOD,studyd_train_subject,1.0,corpus
MILLER,studyd_train_subject,1.0,corpus
MOVANG,studyd_train_subject,1.0,corpus
NEARL6,studyd_train_subject,1.0,corpus
OWNERS,studyd_train_subject,1.0,corpus
QNSRETER,studyd_train_subject,1.0,corpus
STORES,studyd_train_subject,1.0,corpus
TAUGHT,studyd_train_subject,1.0,corpus
TOWARD,studyd_train_subject,1.0,corpus
