text,source,weight,category
056923,studyd_train_subject,1.0,corpus
450324,studyd_train_subject,1.0,corpus
BWARDS,studyd_train_subject,1.0,corpus
COLORS,studyd_train_subject,1.0,corpus
EDITOR,studyd_train_subject,1.0,corpus
FRIENE,studyd_train_subject,1.0,corpus
HIDDEN,studyd_train_subject,1.0,corpus
MINUTE,studyd_train_subject,1.0,corpus
PLEASE,studyd_train_subject,1.0,corpus
SHARED,studyd_train_subject,1.0,corpus
SILVER,studyd_train_subject,1.0,corpus
THINKS,studyd_train_subject,1.0,corpus
VISUAL,studyd_train_subject,1.0,corpus
YELLOW,studyd_train_subject,1.0,corpus
