text,source,weight,category
094230,studyd_train_subject,1.0,corpus
470624,studyd_train_subject,1.0,corpus
BEHIND,studyd_train_subject,1.0,corpus
BUTTON,studyd_train_subject,1.0,corpus
EPPDRT,studyd_train_subject,1.0,corpus
GOPHER,studyd_train_subject,1.0,corpus
MEMORY,studyd_train_subject,1.0,corpus
MODELS,studyd_train_subject,1.0,corpus
PLANER,studyd_train_subject,1.0,corpus
POWERS,studyd_train_subject,1.0,corpus
RITHER,studyd_train_subject,1.0,corpus
SILVER,studyd_train_subject,1.0,corpus
SOURCE,studyd_train_subject,1.0,corpus
SPREAD,studyd_train_subject,1.0,corpus
USEFUL,studyd_train_subject,1.0,corpus
