text,source,weight,category
264779,studyd_train_subject,1.0,corpus
540739,studyd_train_subject,1.0,corpus
869041,studyd_train_subject,1.0,corpus
ACCESS,studyd_train_subject,1.0,corpus
DEAVES,studyd_train_subject,1.0,corpus
EDITOR,studyd_train_subject,1.0,corpus
FAIRLY,studyd_train_subject,1.0,corpus
IMPACT,studyd_train_subject,1.0,corpus
MFFORT,studyd_train_subject,1.0,corpus
RESUME,studyd_train_subject,1.0,corpus
SKILLS,studyd_train_subject,1.0,corpus
STORES,studyd_train_subject,1.0,corpus
