text,source,weight,category
487604,studyd_train_subject,1.0,corpus
768947,studyd_train_subject,1.0,corpus
797830,studyd_train_subject,1.0,corpus
AN6OVE,studyd_train_subject,1.0,corpus
ANNUAL,studyd_train_subject,1.0,corpus
BACKUP,studyd_train_subject,1.0,corpus
DREAMS,studyd_train_subject,1.0,corpus
DZQVER,studyd_train_subject,1.0,corpus
ENTIRE,studyd_train_subject,1.0,corpus
EVGQNE,studyd_train_subject,1.0,corpus
NOTICE,studyd_train_subject,1.0,corpus
NTIOHT,studyd_train_subject,1.0,corpus
OBTAIN,studyd_train_subject,1.0,corpus
SEEMED,studyd_train_subject,1.0,corpus
SWQ1CH,studyd_train_subject,1.0,corpus
VQSUAL,studyd_train_subject,1.0,corpus
